datetime,rolling_rms
2017-05-17 02:27:00,2.7241688
2017-05-17 02:28:00,2.4885238
2017-05-17 02:29:00,2.9315026
2017-05-17 02:30:00,2.5458721
2017-05-17 02:31:00,2.3677627
2017-05-17 02:32:00,3.058085
2017-05-17 02:33:00,2.8032146
2017-05-17 02:34:00,2.5551895
2017-05-17 02:35:00,2.528331
2017-05-17 02:36:00,2.3560731
2017-05-17 02:37:00,2.7607049
2017-05-17 02:38:00,2.674281
2017-05-17 02:39:00,3.4077879
2017-05-17 02:40:00,2.3990319
2017-05-17 02:41:00,2.5079484
2017-05-17 02:42:00,3.3721982
2017-05-17 02:43:00,2.3624714
2017-05-17 02:44:00,2.4684586
2017-05-17 02:45:00,2.6691138
2017-05-17 02:46:00,2.425576
2017-05-17 02:47:00,2.9019226
2017-05-17 02:48:00,2.1916485
2017-05-17 02:49:00,2.6520542
2017-05-17 02:50:00,2.3289631
2017-05-17 02:51:00,2.6544644
2017-05-17 02:52:00,2.4193518
2017-05-17 02:53:00,2.8820172
2017-05-17 02:54:00,2.6644451
2017-05-17 02:55:00,2.3665114
2017-05-17 02:56:00,2.3397908
2017-05-17 02:57:00,2.7978379
2017-05-17 02:58:00,2.3063371
2017-05-17 02:59:00,2.1314485
2017-05-17 03:00:00,2.8698927
2017-05-17 03:01:00,2.3602124
2017-05-17 03:02:00,2.6652222
2017-05-17 03:03:00,2.4175365
2017-05-17 03:04:00,3.1881408
2017-05-17 03:05:00,2.8587879
2017-05-17 03:06:00,2.1876309
2017-05-17 03:07:00,2.3314624
2017-05-17 03:08:00,2.3485696
2017-05-17 03:09:00,2.3480803
2017-05-17 03:10:00,3.327669
2017-05-17 03:11:00,2.1492048
2017-05-17 03:12:00,2.8054804
2017-05-17 03:13:00,2.5499625
2017-05-17 03:14:00,2.6367098
2017-05-17 03:15:00,2.4535086
2017-05-17 03:16:00,3.0467828
2017-05-17 03:17:00,2.3187172
2017-05-17 03:18:00,2.5213395
2017-05-17 03:19:00,2.7354072
2017-05-17 03:20:00,2.5104566
2017-05-17 03:21:00,2.8603288
2017-05-17 03:22:00,2.5297974
2017-05-17 03:23:00,2.6815724
2017-05-17 03:24:00,2.7905679
2017-05-17 03:25:00,2.3129514
2017-05-17 03:26:00,2.9357615
2017-05-17 03:27:00,2.5031511
2017-05-17 03:28:00,2.7777024
2017-05-17 03:29:00,2.9373524
2017-05-17 03:30:00,2.7646225
2017-05-17 03:31:00,2.9373938
2017-05-17 03:32:00,2.9595763
2017-05-17 03:33:00,2.4183235
2017-05-17 03:34:00,2.5233524
2017-05-17 03:35:00,3.4756739
2017-05-17 03:36:00,2.4134448
2017-05-17 03:37:00,2.589834
2017-05-17 03:38:00,2.6670877
2017-05-17 03:39:00,2.6834393
2017-05-17 03:40:00,2.5823113
2017-05-17 03:41:00,2.4679468
2017-05-17 03:42:00,3.7123288
2017-05-17 03:43:00,2.3925687
2017-05-17 03:44:00,3.0251398
2017-05-17 03:45:00,3.4358958
2017-05-17 03:46:00,2.121027
2017-05-17 03:47:00,2.7210524
2017-05-17 03:48:00,2.783096
2017-05-17 03:49:00,2.6082839
2017-05-17 03:50:00,2.2401645
2017-05-17 03:51:00,2.3212866
2017-05-17 03:52:00,3.1266732
2017-05-17 03:53:00,2.4640545
2017-05-17 03:54:00,2.5761853
2017-05-17 03:55:00,3.0007817
2017-05-17 03:56:00,3.2533458
2017-05-17 03:57:00,2.8068268
2017-05-17 03:58:00,2.3206547
2017-05-17 03:59:00,2.1190134
2017-05-17 04:00:00,2.4338885
2017-05-17 04:01:00,3.1678144
2017-05-17 04:02:00,2.2693525
2017-05-17 04:03:00,2.2585278
2017-05-17 04:04:00,2.3782787
2017-05-17 04:05:00,2.4058789
2017-05-17 04:06:00,2.3682124
2017-05-17 04:07:00,2.554093
2017-05-17 04:08:00,2.4454829
2017-05-17 04:09:00,2.3153773
2017-05-17 04:10:00,3.7395775
2017-05-17 04:11:00,2.9587321
2017-05-17 04:12:00,2.3584109
2017-05-17 04:13:00,3.1015934
2017-05-17 04:14:00,2.5088908
2017-05-17 04:15:00,2.4514778
2017-05-17 04:16:00,2.2557728
2017-05-17 04:17:00,2.5616652
2017-05-17 04:18:00,2.5071122
2017-05-17 04:19:00,2.6989666
2017-05-17 04:20:00,2.877811
2017-05-17 04:21:00,2.3910657
2017-05-17 04:22:00,3.0420752
2017-05-17 04:23:00,2.5642302
2017-05-17 04:24:00,2.9575564
2017-05-17 04:25:00,2.7219926
2017-05-17 04:26:00,2.3443506
2017-05-17 04:27:00,2.3758633
2017-05-17 04:28:00,2.5930898
2017-05-17 04:29:00,2.2220971
2017-05-17 04:30:00,2.3959314
2017-05-17 04:31:00,2.6532452
2017-05-17 04:32:00,2.5717426
2017-05-17 04:33:00,2.5564554
2017-05-17 04:34:00,2.3839736
2017-05-17 04:35:00,2.3823097
2017-05-17 04:36:00,3.5197987
2017-05-17 04:37:00,2.7861362
2017-05-17 04:38:00,2.5116952
2017-05-17 04:39:00,2.8453223
2017-05-17 04:40:00,2.732688
2017-05-17 04:41:00,2.4944854
2017-05-17 04:42:00,2.4127555
2017-05-17 04:43:00,2.3659799
2017-05-17 04:44:00,2.4235959
2017-05-17 04:45:00,2.4815863
2017-05-17 04:46:00,2.2798319
2017-05-17 04:47:00,2.3215609
2017-05-17 04:48:00,2.7752739
2017-05-17 04:49:00,2.1778908
2017-05-17 04:50:00,2.2141309
2017-05-17 04:51:00,2.6243172
2017-05-17 04:52:00,2.4182409
2017-05-17 04:53:00,2.6805189
2017-05-17 04:54:00,2.356671
2017-05-17 04:55:00,2.5171956
2017-05-17 04:56:00,2.9603133
2017-05-17 04:57:00,2.3723805
2017-05-17 04:58:00,2.282405
2017-05-17 04:59:00,2.509198
2017-05-17 05:00:00,2.8228966
2017-05-17 05:01:00,2.3222346
2017-05-17 05:02:00,2.3545859
2017-05-17 05:03:00,2.6960413
2017-05-17 05:04:00,2.5372832
2017-05-17 05:05:00,2.3784768
2017-05-17 05:06:00,2.9421746
2017-05-17 05:07:00,2.3738091
2017-05-17 05:08:00,3.4752207
2017-05-17 05:09:00,2.2254694
2017-05-17 05:10:00,3.0767981
2017-05-17 05:11:00,2.4661627
2017-05-17 05:12:00,2.3257459
2017-05-17 05:13:00,2.3863234
2017-05-17 05:14:00,2.3663469
2017-05-17 05:15:00,2.1126087
2017-05-17 05:16:00,2.1427234
2017-05-17 05:17:00,2.4398798
2017-05-17 05:18:00,2.6380062
2017-05-17 05:19:00,2.3986375
2017-05-17 05:20:00,2.9493891
2017-05-17 05:21:00,2.7843612
2017-05-17 05:22:00,3.2845393
2017-05-17 05:23:00,2.8275656
2017-05-17 05:24:00,2.5041385
2017-05-17 05:25:00,3.6547936
2017-05-17 05:26:00,2.3473874
2017-05-17 05:27:00,3.0324681
2017-05-17 05:28:00,2.6699457
2017-05-17 05:29:00,2.6051919
2017-05-17 05:30:00,3.1021567
2017-05-17 05:31:00,2.6002855
2017-05-17 05:32:00,2.5882527
2017-05-17 05:33:00,3.2233381
2017-05-17 05:34:00,2.273258
2017-05-17 05:35:00,2.5852554
2017-05-17 05:36:00,2.33402
2017-05-17 05:37:00,2.1405166
2017-05-17 05:38:00,2.3061396
2017-05-17 05:39:00,2.8053037
2017-05-17 05:40:00,2.7820373
2017-05-17 05:41:00,2.9343614
2017-05-17 05:42:00,3.0716724
2017-05-17 05:43:00,3.1188841
2017-05-17 05:44:00,2.330554
2017-05-17 05:45:00,2.7051944
2017-05-17 05:46:00,2.3153695
2017-05-17 05:47:00,2.4564441
2017-05-17 05:48:00,2.4743045
2017-05-17 05:49:00,3.187394
2017-05-17 05:50:00,2.8193133
2017-05-17 05:51:00,2.2388959
2017-05-17 05:52:00,2.1816495
2017-05-17 05:53:00,2.83342
2017-05-17 05:54:00,2.1802175
2017-05-17 05:55:00,2.3940282
2017-05-17 05:56:00,2.1343033
2017-05-17 05:57:00,2.2324148
2017-05-17 05:58:00,3.0316071
2017-05-17 05:59:00,2.2251527
2017-05-17 06:00:00,2.783797
2017-05-17 06:01:00,2.8816288
2017-05-17 06:02:00,3.2616672
2017-05-17 06:03:00,3.020842
2017-05-17 06:04:00,2.4272182
2017-05-17 06:05:00,2.3654872
2017-05-17 06:06:00,2.5233861
2017-05-17 06:07:00,2.514433
2017-05-17 06:08:00,3.1456948
2017-05-17 06:09:00,2.1248122
2017-05-17 06:10:00,2.3002258
2017-05-17 06:11:00,2.3941889
2017-05-17 06:12:00,2.2035082
2017-05-17 06:13:00,2.278715
2017-05-17 06:14:00,2.3418393
2017-05-17 06:15:00,2.6018134
2017-05-17 06:16:00,3.0269208
2017-05-17 06:17:00,2.5661024
2017-05-17 06:18:00,2.4527764
2017-05-17 06:19:00,2.781645
2017-05-17 06:20:00,3.2256885
2017-05-17 06:21:00,3.159741
2017-05-17 06:22:00,2.4047618
2017-05-17 06:23:00,2.4590451
2017-05-17 06:24:00,2.6975258
2017-05-17 06:25:00,2.4124102
2017-05-17 06:26:00,2.2114741
2017-05-17 06:27:00,3.3121611
2017-05-17 06:28:00,2.1344307
2017-05-17 06:29:00,2.2971282
2017-05-17 06:30:00,2.2558096
2017-05-17 06:31:00,2.681455
2017-05-17 06:32:00,2.2824918
2017-05-17 06:33:00,2.406659
2017-05-17 06:34:00,2.2781074
2017-05-17 06:35:00,2.8910079
2017-05-17 06:36:00,2.7259332
2017-05-17 06:37:00,2.5863524
2017-05-17 06:38:00,2.5777851
2017-05-17 06:39:00,2.5722328
2017-05-17 06:40:00,2.283961
2017-05-17 06:41:00,2.6812686
2017-05-17 06:42:00,2.9347815
2017-05-17 06:43:00,3.0031814
2017-05-17 06:44:00,2.7491135
2017-05-17 06:45:00,2.23591
2017-05-17 06:46:00,2.2935652
2017-05-17 06:47:00,3.190127
2017-05-17 06:48:00,2.4961888
2017-05-17 06:49:00,2.3121332
2017-05-17 06:50:00,2.8006144
2017-05-17 06:51:00,2.6783462
2017-05-17 06:52:00,2.1765354
2017-05-17 06:53:00,2.5554893
2017-05-17 06:54:00,2.4171744
2017-05-17 06:55:00,2.6687223
2017-05-17 06:56:00,2.5146057
2017-05-17 06:57:00,2.9210888
2017-05-17 06:58:00,2.9014071
2017-05-17 06:59:00,2.3826384
2017-05-17 07:00:00,2.2964728
