
"2017:03:25 12:57:14",Door closed
"2017:03:25 12:59:09",Door opened
"2017:03:25 12:59:19",Door closed
"2017:03:25 12:59:49",Door opened
"2017:03:25 12:59:54",Door closed
"2017:03:25 13:00:51",Door opened
"2017:03:25 13:00:54",Door closed
"2017:03:25 13:01:20",Door opened
"2017:03:25 13:01:23",Door closed
"2017:03:25 13:04:11",Door opened
"2017:03:25 13:04:15",Door closed
"2017:03:25 13:04:29",Door opened
"2017:03:25 13:04:33",Door closed
"2017:03:25 13:04:41",Door opened
"2017:03:25 13:04:49",Door closed
"2017:03:25 13:04:59",Door opened
"2017:03:25 13:05:10",Door closed
"2017:03:25 13:05:18",Door opened
"2017:03:25 13:05:23",Door closed
"2017:03:25 13:06:38",Door opened
"2017:03:25 13:06:41",Door closed
"2017:03:25 13:08:02",Door opened
"2017:03:25 13:08:05",Door closed
"2017:03:25 13:31:26",Door opened
"2017:03:25 13:31:29",Door closed
"2017:03:25 13:40:07",Door opened
"2017:03:25 13:40:10",Door closed
"2017:03:25 13:58:05",Door opened
"2017:03:25 13:58:08",Door closed
"2017:03:25 13:58:48",Door opened
"2017:03:25 13:58:53",Door closed
"2017:03:25 13:59:14",Door opened
"2017:03:25 13:59:19",Door closed
"2017:03:25 13:59:23",Door opened
"2017:03:25 13:59:29",Door closed
"2017:03:25 14:01:11",Door opened
"2017:03:25 14:01:16",Door closed
"2017:03:25 14:01:18",Door opened
"2017:03:25 14:01:22",Door closed
"2017:03:25 14:01:48",Door opened
"2017:03:25 14:01:52",Door closed
"2017:03:25 14:02:02",Door opened
"2017:03:25 14:02:09",Door closed
"2017:03:25 14:02:12",Door opened
"2017:03:25 14:02:19",Door closed
"2017:03:25 14:02:50",Door opened
"2017:03:25 14:02:54",Door closed
"2017:03:25 14:03:06",Door opened
"2017:03:25 14:03:11",Door closed
"2017:03:25 14:04:50",Door opened
"2017:03:25 14:04:54",Door closed
"2017:03:25 14:05:07",Door opened
"2017:03:25 14:05:12",Door closed
"2017:03:25 14:06:44",Door opened
"2017:03:25 14:06:49",Door closed
"2017:03:25 14:10:02",Door opened
"2017:03:25 14:10:06",Door closed
"2017:03:25 14:12:13",Door opened
"2017:03:25 14:12:18",Door closed
"2017:03:25 14:15:49",Door opened
"2017:03:25 14:15:54",Door closed
"2017:03:25 14:26:18",Door opened
"2017:03:25 14:26:23",Door closed
"2017:03:25 14:26:49",Door opened
"2017:03:25 14:26:55",Door closed
"2017:03:25 14:29:51",Door opened
"2017:03:25 14:29:56",Door closed
"2017:03:25 14:30:10",Door opened
"2017:03:25 14:30:14",Door closed
"2017:03:25 14:34:36",Door opened
"2017:03:25 14:34:41",Door closed
"2017:03:25 14:34:44",Door opened
"2017:03:25 14:34:48",Door closed
"2017:03:25 14:34:50",Door opened
"2017:03:25 14:35:02",Door closed
"2017:03:25 14:35:14",Door opened
"2017:03:25 14:35:18",Door closed
"2017:03:25 14:35:19",Door opened
"2017:03:25 14:35:23",Door closed
"2017:03:25 14:35:33",Door opened
"2017:03:25 14:35:38",Door closed
"2017:03:25 14:36:15",Door opened
"2017:03:25 14:36:19",Door closed
"2017:03:25 14:36:45",Door opened
"2017:03:25 14:36:50",Door closed
"2017:03:25 14:37:30",Door opened
"2017:03:25 14:37:38",Door closed
"2017:03:25 14:37:48",Door opened
"2017:03:25 14:37:50",Door closed
"2017:03:25 14:38:27",Door opened
"2017:03:25 14:38:31",Door closed
"2017:03:25 14:38:34",Door opened
"2017:03:25 14:38:39",Door closed
"2017:03:25 14:38:54",Door opened
"2017:03:25 14:38:58",Door closed
"2017:03:25 14:39:05",Door opened
"2017:03:25 14:39:09",Door closed
"2017:03:25 14:39:15",Door opened
"2017:03:25 14:39:20",Door closed
"2017:03:25 14:40:31",Door opened
"2017:03:25 14:40:34",Door closed
"2017:03:25 14:42:36",Door opened
"2017:03:25 14:42:41",Door closed
"2017:03:25 14:42:42",Door opened
"2017:03:25 14:42:47",Door closed
"2017:03:25 14:45:23",Door opened
"2017:03:25 14:45:27",Door closed
"2017:03:25 14:45:35",Door opened
"2017:03:25 14:45:40",Door closed
"2017:03:25 15:35:58",Door opened
"2017:03:25 15:36:02",Door closed
"2017:03:25 15:38:51",Door opened
"2017:03:25 15:38:55",Door closed
"2017:03:25 16:02:12",Door opened
"2017:03:25 16:02:18",Door closed
"2017:03:25 16:02:24",Door opened
"2017:03:25 16:02:28",Door closed
"2017:03:25 16:02:34",Door opened
"2017:03:25 16:02:40",Door closed
"2017:03:25 16:02:51",Door opened
"2017:03:25 16:02:55",Door closed
"2017:03:25 16:03:34",Door opened
"2017:03:25 16:03:40",Door closed
"2017:03:25 16:04:01",Door opened
"2017:03:25 16:04:06",Door closed
"2017:03:25 16:04:30",Door opened
"2017:03:25 16:04:36",Door closed
"2017:03:25 16:04:45",Door opened
"2017:03:25 16:04:52",Door closed
"2017:03:25 16:04:55",Door opened
"2017:03:25 16:05:00",Door closed
"2017:03:25 16:05:05",Door opened
"2017:03:25 16:05:12",Door closed
"2017:03:25 16:05:49",Door opened
"2017:03:25 16:05:54",Door closed
"2017:03:25 16:06:22",Door opened
"2017:03:25 16:06:26",Door closed
"2017:03:25 16:07:02",Door opened
"2017:03:25 16:07:09",Door closed
"2017:03:25 16:11:15",Door opened
"2017:03:25 16:11:21",Door closed
"2017:03:25 16:11:31",Door opened
"2017:03:25 16:11:36",Door closed
"2017:03:25 16:11:55",Door opened
"2017:03:25 16:11:59",Door closed
"2017:03:25 16:13:27",Door opened
"2017:03:25 16:13:33",Door closed
"2017:03:25 16:15:24",Door opened
"2017:03:25 16:15:30",Door closed
"2017:03:25 16:15:59",Door opened
"2017:03:25 16:16:04",Door closed
"2017:03:25 16:17:02",Door opened
"2017:03:25 16:17:07",Door closed
"2017:03:25 16:17:38",Door opened
"2017:03:25 16:18:41",Door closed
"2017:03:25 16:19:31",Door opened
"2017:03:25 16:19:42",Door closed
"2017:03:25 16:20:06",Door opened
"2017:03:25 16:20:10",Door closed
"2017:03:25 16:31:56",Door opened
"2017:03:25 16:32:02",Door closed
