datetime,temp,humidity,light,bluetooth_devices,bluetooth_non_personal_devices
3/11/2017 10:38,22.9,18.2,468,52,
3/11/2017 10:38,22.9,18.1,470,52,
3/11/2017 10:39,22.9,18.1,921,53,
3/11/2017 10:39,22.9,18.1,464,53,
3/11/2017 10:39,22.9,18.2,467,53,
3/11/2017 10:39,22.9,18.1,467,53,
3/11/2017 10:39,22.9,18.1,467,53,
3/11/2017 10:39,22.9,18,455,53,
3/11/2017 10:39,22.9,17.9,466,54,
3/11/2017 10:39,22.9,17.9,468,54,
3/11/2017 10:39,22.8,17.9,464,54,
3/11/2017 10:39,22.8,17.9,467,55,
3/11/2017 10:39,22.8,17.9,474,55,
3/11/2017 10:40,22.8,17.9,474,55,
3/11/2017 10:40,22.8,17.9,461,55,
3/11/2017 10:40,22.8,17.9,464,55,
3/11/2017 10:40,22.8,18,478,55,
3/11/2017 10:40,22.8,17.8,476,56,
3/11/2017 10:40,22.8,17.9,471,56,
3/11/2017 10:40,22.8,17.9,478,56,
3/11/2017 10:40,22.8,17.9,474,56,
3/11/2017 10:40,22.8,17.9,482,56,
3/11/2017 10:40,22.8,17.9,481,56,
3/11/2017 10:41,22.8,17.9,477,57,
3/11/2017 10:41,22.8,18,481,57,
3/11/2017 10:41,22.7,17.8,487,57,
3/11/2017 10:41,22.7,17.8,472,57,
3/11/2017 10:41,22.7,17.8,976,57,
3/11/2017 10:41,22.7,18.2,457,57,
3/11/2017 10:41,22.7,18.5,457,57,
3/11/2017 10:41,22.7,18.5,484,57,
3/11/2017 10:41,22.7,18.4,481,57,
3/11/2017 10:41,22.7,18.3,941,57,
3/11/2017 10:42,22.8,18.2,481,57,
3/11/2017 10:42,22.8,18.2,480,57,
3/11/2017 10:42,22.7,18.1,485,57,
3/11/2017 10:42,22.8,18.2,478,57,
3/11/2017 10:42,22.8,18.2,462,58,
3/11/2017 10:42,22.8,18.2,958,59,
3/11/2017 10:42,22.8,18.2,465,59,
3/11/2017 10:42,22.8,18.2,476,59,
3/11/2017 10:42,22.8,18.2,476,59,
3/11/2017 10:42,22.8,18.2,451,59,
3/11/2017 10:42,22.8,18.2,479,60,
3/11/2017 10:43,22.8,18.2,479,60,
3/11/2017 10:43,22.8,18.3,484,60,
3/11/2017 10:43,22.8,18.3,484,61,
3/11/2017 10:43,22.8,18.3,494,61,
3/11/2017 10:43,22.8,18.3,478,62,
3/11/2017 10:43,22.8,18.2,477,62,
3/11/2017 10:43,22.8,18.2,453,62,
3/11/2017 10:43,22.8,18.2,485,62,
3/11/2017 10:43,22.8,18.1,480,62,
3/11/2017 10:43,22.8,18.1,477,62,
3/11/2017 10:44,22.8,18,481,62,
3/11/2017 10:44,22.9,18.1,479,62,
3/11/2017 10:44,22.9,18.1,477,62,
3/11/2017 10:44,22.9,18.1,460,63,
3/11/2017 10:44,22.9,18.1,950,63,
3/11/2017 10:44,22.9,18,476,63,
3/11/2017 10:44,22.9,18.1,458,63,
3/11/2017 10:44,22.9,18.1,460,63,
3/11/2017 10:44,22.9,18.1,477,64,
3/11/2017 10:44,22.9,18.1,481,64,
3/11/2017 10:45,22.9,18.1,476,64,
3/11/2017 10:45,22.9,18,482,64,
3/11/2017 10:45,22.9,18.1,479,64,
3/11/2017 10:45,22.9,18.1,455,64,
3/11/2017 10:45,22.9,18.1,952,65,
3/11/2017 10:45,22.9,18,473,65,
3/11/2017 10:45,22.9,18.1,477,65,
3/11/2017 10:45,22.9,18.1,457,65,
3/11/2017 10:45,22.9,18.1,471,65,
3/11/2017 10:45,22.9,18.1,927,65,
3/11/2017 10:46,22.9,18,952,65,
3/11/2017 10:46,22.9,18.2,477,65,
3/11/2017 10:46,22.9,18.8,477,65,
3/11/2017 10:46,22.9,18.8,477,65,
3/11/2017 10:46,22.9,18.6,453,65,
3/11/2017 10:46,22.9,18.5,476,65,
3/11/2017 10:46,22.9,18.4,458,65,
3/11/2017 10:46,22.9,18.3,457,65,
3/11/2017 10:46,22.9,18.2,464,66,
3/11/2017 10:46,22.9,18.1,469,66,
3/11/2017 10:46,22.9,18.1,467,66,
3/11/2017 10:47,22.9,18,472,66,
3/11/2017 10:47,22.9,18,476,66,
3/11/2017 10:47,22.9,18,454,66,
3/11/2017 10:47,22.9,18,473,67,
3/11/2017 10:47,22.9,18,476,67,
3/11/2017 10:47,22.9,18,482,67,
3/11/2017 10:47,22.9,18.1,472,67,
3/11/2017 10:47,22.9,18.1,479,67,
3/11/2017 10:47,22.9,18.3,945,67,
3/11/2017 10:47,22.9,18.4,477,67,
3/11/2017 10:48,22.9,18.5,476,67,
3/11/2017 10:48,23,18.5,472,67,
3/11/2017 10:48,22.9,18.3,394,67,
3/11/2017 10:48,22.9,18.2,943,67,
3/11/2017 10:48,22.9,18,449,68,
3/11/2017 10:48,23,18.1,472,68,
3/11/2017 10:48,23,18.1,470,68,
3/11/2017 10:48,23,18,473,68,
3/11/2017 10:48,23,18.1,943,68,
3/11/2017 10:48,22.9,17.8,460,68,
3/11/2017 10:49,23,18,474,68,
3/11/2017 10:49,23,18.1,484,68,
3/11/2017 10:49,23,18,485,68,
3/11/2017 10:49,23,18.1,479,69,
3/11/2017 10:49,23,18.2,938,70,
3/11/2017 10:49,23,18,462,70,
3/11/2017 10:49,23,18.1,465,70,
3/11/2017 10:49,23,18.1,484,70,
3/11/2017 10:49,23,18.2,477,70,
3/11/2017 10:49,23,18.7,479,70,
3/11/2017 10:49,23,18.7,474,70,
3/11/2017 10:50,22.9,18.5,475,70,
3/11/2017 10:50,22.9,18.4,470,70,
3/11/2017 10:50,22.9,18.5,479,72,
3/11/2017 10:50,22.9,18.6,481,72,
3/11/2017 10:50,23,18.5,483,72,
3/11/2017 10:50,22.9,18.4,480,72,
3/11/2017 10:50,22.9,18.3,481,72,
3/11/2017 10:50,23,18.3,477,72,
3/11/2017 10:50,22.9,18.2,954,72,
3/11/2017 10:50,23,18.1,479,72,
3/11/2017 10:51,23,18.3,472,72,
3/11/2017 10:51,22.9,18.1,479,72,
